price,bedrooms,bathrooms,latitude,longitude,property_type,tenure,listing_update_reason,summary,url
480000,4,1.0,51.566311,-3.231528,Link Detached House,,new,"This exceptional 4 double bedroom detached property in a peaceful cul-de-sac features a spacious living room, dining room, and a kitchen with a breakfast room that opens to a large garden. With potential for modernisation and expansion, it’s a rare opportunity near Caerphilly Mountain an...",https://www.rightmove.co.uk/properties/164129216#/?channel=RES_BUY
205000,1,1.0,51.500159,-3.192681,Maisonette,FREEHOLD,new,"A spacious, re-furbished ground floor maisonette in this popular position with designated parking. Ideal for a first time buyer or as an Investment property. No Chain.",https://www.rightmove.co.uk/properties/164128613#/?channel=RES_BUY
325000,3,1.0,51.526649,-3.201492,Semi-Detached,FREEHOLD,new,"A three-bedroom semi-detached home presenting a rare opportunity to create your dream home in one of Cardiff’s most desirable residential areas. With a generous plot, off-street parking, garage and a substantial rear garden, the property offers plenty of space to grow into—and the potential to mo...",https://www.rightmove.co.uk/properties/164127815#/?channel=RES_BUY
200000,2,2.0,51.546696,-3.352199,Semi-Detached,FREEHOLD,new,** BEAUTIFULLY PRESENTED * MODERN KITCHEN * OFF ROAD PARKING * IMMACULATELY PRESENTED * CONTEMPORARY BATHROOM * TWO DOUBLE BEDROOMS * EN-SUITE TO BEDROOM ONE * SEMI DETACHED ** Sell Right Estate Agents are pleased to bring to the market this well presented two bedroom semi detached property in...,https://www.rightmove.co.uk/properties/164127509#/?channel=RES_BUY
365000,3,1.0,51.4406,-3.17373,Terraced,FREEHOLD,new,"A very stylish and extended three bedroom family home in the Town Centre of Penarth, on the quiet and popular Salop Street. Boasting three good size bedrooms, a large reception room, an extended kitchen, a South Facing and generous size rear garden and in fantastic school catchments. ",https://www.rightmove.co.uk/properties/164125859#/?channel=RES_BUY
230000,2,2.0,51.4539,-3.17803,Apartment,LEASEHOLD,new,"A beautiful and very stylish two bedroom apartment with direct views over Cardiff Bay and large balcony. Immaculate and stylish finish throughout with open plan living, a large balcony, two double bedrooms, en-suite and bathroom, two allocated parking spaces and on-site leisure facilities.",https://www.rightmove.co.uk/properties/164125391#/?channel=RES_BUY
220000,2,2.0,51.480941,-3.19016,Ground Flat,SHARE_OF_FREEHOLD,price_reduced,"Welcome to this charming ground floor maisonette located in Riverside, Cardiff. This delightful property boasts two well-proportioned bedrooms, 2 bathrooms, modern kitchen & and welcoming reception room, making it an ideal choice for couples, small families, or those seeking a comfortable space.<...",https://www.rightmove.co.uk/properties/162073106#/?channel=RES_BUY
250000,2,1.0,51.504482,-3.196694,Ground Flat,LEASEHOLD,new,"This beautifully presented ground floor flat is ready for you to move straight in and enjoy. Situated in an enviable location with excellent access to major road networks, green open spaces, and the University Hospital of Wales, this home offers both comfort and convenience. Early viewin...",https://www.rightmove.co.uk/properties/164019641#/?channel=RES_BUY
450000,4,2.0,51.524026,-3.268067,Detached,FREEHOLD,new,"**DETACHED PROPERTY**FOUR BEDROOMS**RADYR HIGH CATCHMENT** beautifully presented, four bedroom family home in the sought after area of Morganstown. Entrance hallway, lounge, dining room, kitchen, utility room, cloakroom and conservatory. To the first floor, a spacious master bedroom with en-suit...",https://www.rightmove.co.uk/properties/164120270#/?channel=RES_BUY
230000,3,1.0,51.51842,-3.09211,End of Terrace,FREEHOLD,price_reduced,A truly lovely property in a prime location. This three bedroom house located in popular Lloyd Place with fantastic open views across Hendre Lake and a private rear garden. Offered for sale in excellent order throughout with modern decor. Being sold with no onward chain.,https://www.rightmove.co.uk/properties/159034835#/?channel=RES_BUY
