price,bedrooms,bathrooms,address,property_type,url
315000,3,2.0,"Cowslip Drive, Penarth",Semi-Detached,https://www.rightmove.co.uk/properties/163512386#/?channel=RES_BUY
292500,3,1.0,"Brandreth Road, Cardiff",Flat,https://www.rightmove.co.uk/properties/162529739#/?channel=RES_BUY
219950,3,1.0,"Fitzwilliam Close, Cross Inn, Pontyclun",Semi-Detached,https://www.rightmove.co.uk/properties/162073559#/?channel=RES_BUY
260000,2,1.0,"Bradford Place, Penarth",Flat,https://www.rightmove.co.uk/properties/164079443#/?channel=RES_BUY
399950,4,2.0,"St Martins Road, Caerphilly, CF83",End of Terrace,https://www.rightmove.co.uk/properties/164076713#/?channel=RES_BUY
275000,3,1.0,"Plasnewydd Road, Cardiff",Terraced,https://www.rightmove.co.uk/properties/153102917#/?channel=RES_BUY
270000,3,2.0,"Kember Close, Cardiff, CF3",Semi-Detached,https://www.rightmove.co.uk/properties/163700954#/?channel=RES_BUY
200000,2,1.0,"Ball Road, Llanrumney, Cardiff. CF3",Semi-Detached,https://www.rightmove.co.uk/properties/162228464#/?channel=RES_BUY
375000,3,2.0,"Gwern Gwynfael, Capel Llanilltern, Cardiff",Detached,https://www.rightmove.co.uk/properties/164073281#/?channel=RES_BUY
220000,5,2.0,"York Drive, Llantwit Fardre, Pontypridd",Semi-Detached,https://www.rightmove.co.uk/properties/151717916#/?channel=RES_BUY
275000,2,1.0,"Daisy Street, Victoria Park, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164072408#/?channel=RES_BUY
325000,3,2.0,"Corporation Road, Grangetown, Cardiff",House,https://www.rightmove.co.uk/properties/164072081#/?channel=RES_BUY
300000,3,1.0,"The Farthings, Cardiff, CF23",Semi-Detached,https://www.rightmove.co.uk/properties/164071223#/?channel=RES_BUY
235000,2,,"Pencoedtre Road, BARRY",Detached,https://www.rightmove.co.uk/properties/164068844#/?channel=RES_BUY
500000,4,2.0,"Colcot Road, Barry",Semi-Detached,https://www.rightmove.co.uk/properties/163411685#/?channel=RES_BUY
350000,6,1.0,"Ferry Road, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163176245#/?channel=RES_BUY
235000,2,2.0,"Pencoedtre Road, Barry",Detached,https://www.rightmove.co.uk/properties/87155025#/?channel=RES_BUY
215000,2,1.0,"Fidlas Road, Llanishen, Cardiff",Flat,https://www.rightmove.co.uk/properties/164066534#/?channel=RES_BUY
